Class Number,Class Name,Units,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
ENGL ,"Poetry for the People"": Global Black Politics and Culture in the Age of Marcus Garvey",100 Units,"When Jamaican activist Marcus Garvey established the Universal Negro Improvement Association, he at once catalyzed a global mass movement for racial equality, projected a new Black diasporic identity, and redrew the fault-lines of modern racial politics. He also created the organizational and ideological framework for a global Black literature. Poets, workers, and political organizers from across the Black Diaspora sent both poetic and prosaic expressions of race-consciousness to the pages of Garvey's newspaper Negro World. These writers and activists challenged the legitimacy of world white supremacy, developed new modes of transnational racial affiliation, and enshrined Africa as the normative symbolic center of global Black politics. Despite its historical importance, however, Garveyism occupies an ambiguous place in African American studies. Controversies that trace back to the inception of UNIA, in addition to the loss of the organization's records, have impeded a full reckoning with the movement's global impact. Nonetheless, the great multivolume anthology of UNIA papers edited by Robert A. Hill, in addition to recent revisionist scholarship, suggest unexplored avenues of inquiry. The history of Garveyism, it seems, remains unfinished. ""Poetry for the People"" will introduce students to the real and imagined worlds of Garveyist Pan-Africanism, and explore the legacies of Garvey's movement for contemporary debates on race, empire, nationalism, and the politics of culture.",Noah Hansen,SpringEquivalent Course(s): CRES 27537,,CRES 27537
ENGL ,Unfinished Business: Revenge and Narrative Form,100 Units,"What does it mean for something-a concept, an object, a historical inheritance-to ""return with a vengeance""? Is revenge motivated by a desire for justice-a clear if ruthless commitment to equivalence-or does it demonstrate a drive towards excess? Does revenge restore order to a system of accounting, or does it compound wrongs that could never have been righted in the first place? Whom exactly is the post-breakup ""revenge body"" for?
As these questions suggest, revenge possesses a special knack for confusing categories of self and other, and resurrecting uncertainties when it comes to cause and effect. Its resistance to closure makes it a complex model for social relation and narrative form. Revenge also has no respect for scale. Making no pretension to being impersonal or detached, revenge is linked to more minor forms like pettiness or grudges. Yet revenge plots often address scales far beyond the personal: events or contexts unfolding at the register of the historical, the intergenerational, the global. Revenge thus undoes unsustainable dichotomies between subject and object, social and individual, and more. 
We will explore revenge in novels and films alongside theories of revenge: psychoanalytic theories of fixation and the refusal to mourn, queer theorists and affect theorists writing on disaffection and alien affects, and even self-help writers counseling against the self-destructive, corrosive effects of not letting something go.",Shirl Yang,"WinterEquivalent Course(s): CRES 27554, GNSE 27544",,"CRES 27554, GNSE 27544"
ENGL ,Forms of Labor in Caribbean Literature,100 Units,"From the barrack-yard fiction of C.L.R. James to the Haitian peasant novel, Caribbean literature has been deeply preoccupied with the lives and struggles of the region's working people: Caribbean literature is, in many ways, a literature of labor. This course facilitates critical engagement with the role of labor in Caribbean literature, exploring how transformations in the conditions of work shape the development of regional literary trends from the early twentieth century through the 1960s. During this period, Caribbean writers identified the project of a national literature with the native working classes even while economic pressures led many to seek work abroad. How do Caribbean writers make sense of these contradictions? What strategies do poets and novelists employ to reconcile processes of transnational migration with narratives of national identity? This course surveys literatures produced across the Caribbean archipelago, comparing the varied forms and genres adopted by Haitian, Bajan, Trinidadian, Jamaican, and Guyanese writers to represent the working classes of their respective islands. Lectures and supplementary critical readings will situate literary texts in relation to histories of economic development in the Caribbean, with particular attention to the plantation, the peasantry, and the expansion of U.S. imperialism. Authors on the syllabus are likely to include Claude McKay, Eric Walrond, Jacques Roumain, C.L.R. James, George Lamming, and Sylvia Wynter.",Noah Hansen,"WinterEquivalent Course(s): CRES 37555, CRES 27555",,"CRES 37555, CRES 27555"
ENGL ,21st Century American Drama,100 Units,"This hybrid seminar focuses on American contemporary playwrights who have made a significant and commercial impact with regard to dramatic form in the past 20 years. Playwrights will include, Tracy Letts, Annie Baker, Lynn Nottage, Quiara Alegria Hudes, Ayad Akhtar, and Amy Herzog. Textual analysis is consistently oriented towards staging, design, and cultural relevancies. Work for the course will include research papers, presentations, and scene work.",K. Walsh,SpringNote(s): Attendance at the first class session is mandatory. Questions: contact vwalden@uchicago.edu.Equivalent Course(s): TAPS 20120,,TAPS 20120
ENGL ,Queer Modernism,100 Units,"This course examines the dramatic revisions in gender and sexuality that characterize the early twentieth century in the U.S. and Europe. Together, we will read literary texts by queer writers to investigate their role in shaping the period's emergent regimes of sex and gender. We'll consider queer revisions of these concepts for their effect on the broader social and political terrain of the early twentieth century and explore the intimate histories they made possible: What new horizons for kinship, care, affect, and the everyday reproduction of life did modernist ideas about sex and gender enable? Our examination will center primarily on queer lives relegated to the social and political margins-lives of exile or those cut short by various forms of dispossession. Towards the end of the quarter, we will also consider how more recent cultural producers-and in particular Black filmmakers associated with the New Queer Cinema movement- have sought to imagine or in some sense recover queer lives and scenes that have been silenced or apparently lost to history. This class will double as an advanced introduction to queer theory, with a particular emphasis on literary criticism and cultural studies. (1830-1990; 20th/21st)",Agnes Malinowska,Winter,"Open enrollment for all graduate students, as well as 3rd- and 4th-year undergraduate students with majors in the Humanities and Social Sciences. All others, please email amalinowska@uchicago.edu to request permission to enroll.","AMER 27703, AMER 47703, MAPH 47703, GNSE 23138, ENGL 47703, GNSE 47702"
ENGL ,"Feeling Brown, Feeling Down",100 Units,"Taking its cue from José Esteban Muñoz's 2006 essay in Signs, this course interrogates negative affective categories as they are expressed in US ethnic literature in the 20th and 21st centuries. As Muñoz argues, ""depression has become one of the dominant affective positions addressed within the cultural field of contemporary global capitalism""; this course explores orientations such as depression, shame, sickness, and melancholy to think critically about racial formations amidst capital and how these are posed alongside literary questions. Primary texts may include Larsen, Ozeki, Morrison, and Okada; secondary texts may include Ahmed, Freud, Muñoz, Cheng, and Spillers.",Megan Tusler,"WinterEquivalent Course(s): RDIN 47708, MAPH 47708, RDIN 27708, ENGL 47708, AMER 27708, AMER 47708",,"RDIN 47708, MAPH 47708, RDIN 27708, ENGL 47708, AMER 27708, AMER 47708"
ENGL ,Race and Governmentality in Transnational Literature,100 Units,"In this course, we read a range of literary works that are concerned with the boundaries of nation-states and the flows between them, and with racial formations across borders. We think critically about different kinds of transnational literature, from travel narratives, to fiction dealing with migrant / refugee / diaspora experience, to ""global lit,"" and how these articulate configurations of race and governmentality under modernity. We read essays by Julie Chu on human cargo, and David Harvey on flexible accumulation. The literary titles we look at might include:
Henry James, The American Scene
Thomas Mann, Death in Venice
Derek Walcott, Omeros
Claude Levi-Strauss, Tristes Tropiques
Therese Hak Kyung Cha's Dictee
Kazuo Ishiguro, Never Let Me Go
Amitav Ghosh, The Sea of Poppies
Viet Thanh Nguyen, The Sympathizer
Claudia Rankine, Just Us: An American Conversation",Darrel Chia,"SpringEquivalent Course(s): CRES 27710, MAPH 47710, ENGL 47710",,"CRES 27710, MAPH 47710, ENGL 47710"
ENGL ,What is Literature For?: Theories of Literary Value,100 Units,"This class will examine different theories about the meaning and social role of literature over a historical long durée. Why do we find literature valuable? What do we ask from it, and what is it able to provide? Is art's very uselessness the key to its role in the lives of readers? Or can we expect literature to effect changes in the world we live in? Does literature serve a therapeutic function? An expressive one? To what or whom is a writer responsible? Students will develop their own answers to these questions, and also examine how attitudes about the function of literary text have changed over the last few centuries- centuries that have seen a staggering transformation in the growth of literacy and the volume of print and digital culture. Readings will range from the Renaissance to the 21st century, and may include texts by Philip Sidney, Oscar Wilde, William Faulkner, Elizabeth Bishop, James Baldwin, Jaques Ranciere, and Gayatri Spivak",Sarah Kunjummen,"SpringEquivalent Course(s): MAPH 47711, ENGL 47711",,"MAPH 47711, ENGL 47711"
ENGL ,"Reproductive citizens: sex, work, and embodiment",100 Units,"In this class, we focus on literature, film, history, and theory that deal with biological and social reproduction, motherhood and the politics of the home and family, and domestic and sexual labor. Our readings and viewings are centered in the U.S. and span the early twentieth century through the present-and we approach the above themes and structures in relation to the troubled and uneven histories of race, gender, and class that shape them. To this end, we will learn about the history of eugenics and sterilization; the afterlife of slavery and racist (anti-Asian) U.S. immigration policy; settler colonialism and the Native American reservation system; state policing of family and kinship structures; developments in reproductive and gender-affirming biotechnology; and the thorny politics of sex work. At the same time, we will be equally interested in the ways that activists, theorists, and other cultural producers have pushed against oppressive policies and structures to imagine and fight for reproductive justice and liberation at the intersection of race, labor, and gender. We spend time, for example, with Black and Native feminists, Marxist social reproduction theorists, family abolitionists, and sex worker's rights activists. Readings and viewings may include: Charlotte Perkins Gilman, Tillie Olsen, Gayl Jones, Fae Myenne Ng, Louise Erdrich, Lizzie Borden, Barbara Loden, Amy Heckerling, and the International Wages for Housework Campaign. (Theory; 20th/21st)",Agnes Malinowska,Spring,"Open enrollment for all graduate students, as well as 3rd- and 4th-year undergraduate students with majors in the Humanities and Social Sciences. All others, please email amalinowska@uchicago.edu to request permission to enroll.","CRES 27714, MAPH 47714, GNSE 47714, GNSE 23155, ENGL 47714"
ENGL ,Appropriations and Impostures,100 Units,"What are the different aesthetic and literary uses of appropriation? The editor of a Canadian magazine who set up the Appropriation Prize in 2017, defended the practice of cultural appropriation by insisting that ""anyone, anywhere, should be encouraged to imagine other peoples, other cultures, other identities."" This case underscores the continuing tension between narrative as a vehicle for imagining and empathizing with distant others, and notions of cultural property. In this course, we look at a selection of literary works that speak to these themes including Diderot, Ern Malley, Patricia Highsmith, Peter Carey, Kenneth Goldsmith, and Sherman Alexie, with particular attention to the work of appropriation in postcolonial contexts. We also touch on appropriation in other media, such as for instance, Richard Prince's ""New Portraits,"" Sherrie Levine's ""After Walker Evans"", and Ni Haifeng's installations.",Darrell Chia,"SpringNote(s): Open to MAPH students and 3rd and 4th years in the CollegeEquivalent Course(s): MAPH 37815, ENGL 37815",,"MAPH 37815, ENGL 37815"
ENGL ,Intro to Religion and Literature: Dramatic Encounters,100 Units,"This course will explore some of the major statements from the Western intellectual tradition on religion and literature as categories of thought, forms of human expression and communication, and sources of personal and social meaning. We will pay close attention to the various ways that the relationship between these two concepts has been understood and constructed by artists, philosophers, and theologians alike. Students from all concentrations are welcome; no prior knowledge or foreign language competency is required for enrollment.",Matthew Creighton,WinterEquivalent Course(s): RLST 28211,,RLST 28211
ENGL ,Mythologies of America: 19th Century Novels,100 Units,"Hawthorne, Melville, Stowe, Alcott, and Twain wrote fiction that, in individual novels and also read comparatively, offers a civic template of mythologies of America: its genesis, its composition, its deities, its ritual life.  The course considers this writing as both distinctively American, and as engaging central themes of modern novels, e.g. time, history, and memory, the relation of private to civic life, and the shifting role of religious authority.",Richard Rosengarten,"SpringEquivalent Course(s): RAME 38500, RLST 28510, RLVC 38500, ENGL 38500",,"RAME 38500, RLST 28510, RLVC 38500, ENGL 38500"
ENGL ,Postcolonial Openings: World Literature after 1955,100 Units,"This course familiarizes students with the perspectives, debates, and attitudes that characterize the contemporary field of postcolonial theory, with critical attention to how its interdisciplinary formation contributes to reading literary works. What are the claims made on behalf of literary texts in orienting us to other lives and possibilities, and in registering the experiences of displacement under global capitalism? To better answer these questions, we read recent scholarship that engages the field in conversations around gender, affect, climate change, and democracy, to think about the impulses that animate the field, and to sketch new directions. We survey the trajectories and self-criticisms within the field, looking at canonical critics (Fanon, Said, Bhabha, Spivak), as well as reading a range of literary and cinematic works by writers like Jean Rhys, E.M. Forster, Mahasweta Devi, Derek Walcott, Arundhati Roy, and Salman Rushdie). (Theory; 20th/21st)",Darrel Chia,"WinterEquivalent Course(s): ENGL 38619, HMRT 34520, CRES 28619, MAPH 34520, GNSE 34520, GNSE 24520",,"ENGL 38619, HMRT 34520, CRES 28619, MAPH 34520, GNSE 34520, GNSE 24520"
ENGL ,On Fear and Loathing:  Negative Affect and the American Novel,100 Units,,,,,"MAPH 40120, ENGL 38710"
ENGL ,Nabokov:  Lolita,100 Units,"Lolita, light of my life, fire of my loins. My sin, my soul, Lolita: the tip of the tongue taking a trip of three steps down the palate, to tap at three on the teeth."" Popular as Nabokov's ""all-American"" novel is, it is rarely discussed beyond its psychosexual profile. This intensive text-centered and discussion-based course attempts to supersede the univocal obsession with the novel's pedophiliac plot as such by concerning itself above all with the novel's language: language as failure, as mania, and as conjuration.",M. Sternstein,"AutumnEquivalent Course(s): SIGN 26027, REES 20004, FNDL 25300, GNSE 24900",,"SIGN 26027, REES 20004, FNDL 25300, GNSE 24900"
ENGL ,Independent BA Paper Preparation,100 Units,"Senior students completing a Critical BA Project may register for this course using the College Reading and Research Form, available in the College Advising offices. This form must be signed by the faculty BA advisor and the Director of Undergraduate Studies and then submitted to the Office of the Registrar. This course may not be counted toward the distribution requirements for the major, but it may be counted as a departmental elective.",,"Autumn
Spring
Winter",Consent of instructor and Director of Undergraduate Studies,
